,dates
0,2022-06-30
1,2021-06-30
2,2020-06-30
3,2019-06-28
4,2018-06-29
5,2017-06-30
6,2016-06-30
7,2015-06-30
8,2014-06-30
9,2013-06-28
10,2012-06-29
11,2011-06-30
12,2010-06-30
13,2009-06-30
14,2008-06-30
15,2007-06-29
16,2006-06-30
17,2005-06-30
18,2004-06-30
19,2003-06-30
20,2002-06-28
21,2001-06-29
22,2000-06-30
23,1999-06-30
24,1998-06-30
25,1997-06-30
26,1996-06-28
27,1995-06-30
28,1994-06-30
29,1993-06-30
30,1992-06-30
31,1991-06-27
32,1990-06-28
33,1989-06-30
34,1988-06-30
35,1987-06-30
36,1986-06-30
37,1985-06-28
38,1984-06-28
39,1983-06-29
40,1982-06-29
41,1981-06-29
42,1980-06-27
43,1979-06-28
44,1978-06-30
45,1977-06-30
46,1976-06-30
47,1975-06-30
