,dates
0,2022-01-12
1,2021-01-12
2,2020-01-10
3,2019-02-08
4,2019-01-11
5,2018-01-12
6,2017-01-12
7,2016-01-12
8,2015-01-12
9,2014-01-10
10,2013-01-11
11,2012-01-12
12,2011-01-12
13,2010-01-12
14,2009-01-12
15,2008-01-11
16,2007-01-12
17,2006-01-12
18,2005-01-12
19,2004-01-12
20,2003-01-10
21,2002-01-11
22,2001-01-11
23,2000-01-12
24,1999-01-12
25,1998-01-13
26,1997-01-10
27,1997-01-01
28,1996-01-16
29,1996-01-01
30,1995-01-12
31,1995-01-01
32,1994-01-01
33,1993-01-01
34,1992-01-01
35,1991-01-01
36,1990-01-01
37,1989-01-01
38,1988-01-01
39,1987-01-01
40,1986-02-01
41,1985-01-01
42,1984-01-01
43,1983-01-13
44,1982-01-15
45,1981-01-14
46,1980-01-15
47,1979-01-16
48,1978-01-16
49,1977-01-17
50,1976-01-15
51,1975-01-16
52,1974-01-16
53,1973-01-15
54,1972-01-14
55,1970-12-18
