,dates
0,2022-06-10
1,2022-05-12
2,2022-04-08
3,2022-03-09
4,2022-02-09
5,2022-01-12
6,2021-12-09
7,2021-11-09
8,2021-10-12
9,2021-09-10
10,2021-08-12
11,2021-07-12
12,2021-06-10
13,2021-05-12
14,2021-04-09
15,2021-03-09
16,2021-02-09
17,2021-01-12
18,2020-12-10
19,2020-11-10
20,2020-10-09
21,2020-09-11
22,2020-08-12
23,2020-07-10
24,2020-06-11
25,2020-05-12
26,2020-04-09
27,2020-03-10
28,2020-02-11
29,2020-01-10
30,2019-12-10
31,2019-11-08
32,2019-10-10
33,2019-09-12
34,2019-08-12
35,2019-07-11
36,2019-06-11
37,2019-05-10
38,2019-04-09
39,2019-03-08
40,2019-02-08
41,2019-01-11
42,2018-12-11
43,2018-11-08
44,2018-10-11
45,2018-09-12
46,2018-08-10
47,2018-08-09
48,2018-07-12
49,2018-06-12
50,2018-05-10
51,2018-04-10
52,2018-03-08
53,2018-02-08
54,2018-01-12
55,2017-12-12
56,2017-11-09
57,2017-10-12
58,2017-09-12
59,2017-08-10
60,2017-07-12
61,2017-06-09
62,2017-05-10
63,2017-04-11
64,2017-03-09
65,2017-02-09
66,2017-01-12
67,2016-12-09
68,2016-11-09
69,2016-10-12
70,2016-09-12
71,2016-08-12
72,2016-07-12
73,2016-06-10
74,2016-05-10
75,2016-04-12
76,2016-03-09
77,2016-02-09
78,2016-01-12
79,2015-12-09
80,2015-11-10
81,2015-10-09
82,2015-09-11
83,2015-08-12
84,2015-07-10
85,2015-06-10
86,2015-05-12
87,2015-04-09
88,2015-03-10
89,2015-02-10
90,2015-01-12
91,2014-12-10
92,2014-11-10
93,2014-10-10
94,2014-09-11
95,2014-08-12
96,2014-07-11
97,2014-06-11
98,2014-05-09
99,2014-04-09
100,2014-03-10
101,2014-02-10
102,2014-01-10
103,2013-12-10
104,2013-11-19
105,2013-11-08
106,2013-10-24
107,2013-10-17
108,2013-09-12
109,2013-08-12
110,2013-07-11
111,2013-06-12
112,2013-05-10
113,2013-04-10
114,2013-03-08
115,2013-02-08
116,2013-01-11
117,2012-12-11
118,2012-11-09
119,2012-10-11
120,2012-09-12
121,2012-08-10
122,2012-07-11
123,2012-06-12
124,2012-05-10
125,2012-04-10
126,2012-03-09
127,2012-02-09
128,2012-01-12
129,2011-12-09
130,2011-11-09
131,2011-10-12
132,2011-09-12
133,2011-08-11
134,2011-07-12
135,2011-06-09
136,2011-05-11
137,2011-04-08
138,2011-03-10
139,2011-02-09
140,2011-01-12
141,2010-12-10
142,2010-11-09
143,2010-10-08
144,2010-09-10
145,2010-08-12
146,2010-07-09
147,2010-06-10
148,2010-05-11
149,2010-04-09
150,2010-03-10
151,2010-02-09
152,2010-01-12
153,2009-12-10
154,2009-11-10
155,2009-10-09
156,2009-09-11
157,2009-08-12
158,2009-07-10
159,2009-06-10
160,2009-05-12
161,2009-04-09
162,2009-03-11
163,2009-02-10
164,2009-01-12
165,2008-12-11
166,2008-11-10
167,2008-10-10
168,2008-09-12
169,2008-08-12
170,2008-07-11
171,2008-06-10
172,2008-05-09
173,2008-04-09
174,2008-03-11
175,2008-02-08
176,2008-01-11
177,2007-12-11
178,2007-11-09
179,2007-10-12
180,2007-09-12
181,2007-08-10
182,2007-07-12
183,2007-06-11
184,2007-05-11
185,2007-04-10
186,2007-03-09
187,2007-02-09
188,2007-01-12
189,2006-12-11
190,2006-11-09
191,2006-10-12
192,2006-09-12
193,2006-08-11
194,2006-07-12
195,2006-06-09
196,2006-05-12
197,2006-04-10
198,2006-03-10
199,2006-02-09
200,2006-01-12
201,2005-12-09
202,2005-11-10
203,2005-10-12
204,2005-09-13
205,2005-08-12
206,2005-07-12
207,2005-06-10
208,2005-05-12
209,2005-04-08
210,2005-04-01
211,2005-03-10
212,2005-02-09
213,2005-01-12
214,2004-12-10
215,2004-11-12
216,2004-10-12
217,2004-09-10
218,2004-08-12
219,2004-07-12
220,2004-06-10
221,2004-05-12
222,2004-04-08
223,2004-04-01
224,2004-03-10
225,2004-02-10
226,2004-01-12
227,2003-12-11
228,2003-11-12
229,2003-10-10
230,2003-09-11
231,2003-08-12
232,2003-07-11
233,2003-06-11
234,2003-05-12
235,2003-04-10
236,2003-03-11
237,2003-02-11
238,2003-01-10
239,2002-12-10
240,2002-11-12
241,2002-10-11
242,2002-09-12
243,2002-08-12
244,2002-07-11
245,2002-06-12
246,2002-05-12
247,2002-04-10
248,2002-03-08
249,2002-02-08
250,2002-01-11
251,2001-12-11
252,2001-11-09
253,2001-10-12
254,2001-09-14
255,2001-08-10
256,2001-07-11
257,2001-06-12
258,2001-05-10
259,2001-04-10
260,2001-03-08
261,2001-02-08
262,2001-01-10
263,2000-12-12
264,2000-11-09
265,2000-10-12
266,2000-09-12
267,2000-08-11
268,2000-07-12
269,2000-06-09
270,2000-05-12
271,2000-04-11
272,2000-03-10
273,2000-02-11
274,2000-01-11
275,1999-12-10
276,1999-11-10
277,1999-10-08
278,1999-09-10
279,1999-08-12
280,1999-07-12
281,1999-06-11
282,1999-05-12
283,1999-04-09
284,1999-03-11
285,1999-02-10
286,1999-01-11
287,1998-12-11
288,1998-11-10
289,1998-10-09
290,1998-09-11
291,1998-08-12
292,1998-07-10
293,1998-06-12
294,1998-05-12
295,1998-04-09
296,1998-03-12
297,1998-02-11
298,1998-01-09
299,1997-12-11
300,1997-11-10
301,1997-10-10
302,1997-09-12
303,1997-08-12
304,1997-07-11
305,1997-06-12
306,1997-05-12
307,1997-04-11
308,1997-03-11
309,1997-02-12
310,1997-01-09
311,1996-12-12
312,1996-11-12
313,1996-10-11
314,1996-09-11
315,1996-08-12
316,1996-07-12
317,1996-06-12
318,1996-05-10
319,1996-04-11
320,1996-03-12
321,1996-02-09
322,1996-01-16
323,1995-12-12
324,1995-11-09
325,1995-10-11
326,1995-09-12
327,1995-08-11
328,1995-07-12
329,1995-06-12
330,1995-05-11
331,1995-04-11
332,1995-03-10
333,1995-02-10
334,1995-01-11
335,1994-12-09
336,1994-11-09
337,1994-10-12
338,1994-09-12
339,1994-08-11
340,1994-07-12
341,1994-06-09
342,1994-05-10
343,1994-04-12
344,1994-03-10
345,1994-02-10
346,1994-01-12
347,1993-12-09
348,1993-11-09
349,1993-10-12
350,1993-09-09
351,1993-08-11
