,dates
0,2022-03-29
1,2022-02-22
2,2022-01-25
3,2022-01-04
4,2021-03-30
5,2021-02-23
6,2021-01-26
7,2021-01-05
8,2020-03-31
9,2020-02-25
10,2020-01-28
11,2020-01-03
12,2019-03-26
13,2019-02-26
14,2019-01-29
15,2019-01-03
16,2018-03-27
17,2018-02-27
18,2018-01-30
19,2018-01-03
20,2017-03-28
21,2017-02-28
22,2017-01-31
23,2017-01-04
24,2016-03-29
25,2016-03-01
26,2016-02-02
27,2016-01-05
28,2015-03-31
29,2015-03-03
30,2015-02-03
31,2015-01-06
32,2014-11-25
33,2014-11-18
34,2014-11-12
35,2014-11-04
36,2014-10-28
37,2014-10-21
38,2014-10-15
39,2014-10-07
40,2014-09-30
41,2014-09-23
42,2014-09-16
43,2014-09-09
44,2014-09-03
45,2014-08-26
46,2014-08-19
47,2014-08-12
48,2014-08-05
49,2014-07-29
50,2014-07-22
51,2014-07-15
52,2014-07-08
53,2014-07-01
54,2014-06-24
55,2014-06-17
56,2014-06-10
57,2014-06-03
58,2014-05-28
59,2014-05-20
60,2014-05-13
61,2014-05-06
62,2014-04-29
63,2014-04-22
64,2014-04-15
65,2014-04-08
66,2014-04-01
67,2014-03-04
68,2014-02-04
69,2013-12-31
70,2013-11-26
71,2013-11-19
72,2013-11-13
73,2013-11-05
74,2013-10-29
75,2013-10-22
76,2013-10-01
77,2013-09-24
78,2013-09-17
79,2013-09-10
80,2013-09-04
81,2013-08-27
82,2013-08-20
83,2013-08-13
84,2013-08-06
85,2013-07-30
86,2013-07-23
87,2013-07-16
88,2013-07-09
89,2013-07-02
90,2013-06-25
91,2013-06-18
92,2013-06-11
93,2013-06-04
94,2013-05-29
95,2013-05-21
96,2013-05-14
97,2013-05-07
98,2013-04-23
99,2013-04-16
100,2013-04-09
101,2013-04-02
102,2013-03-26
103,2013-02-26
104,2013-01-29
105,2013-01-02
106,2012-11-27
107,2012-11-20
108,2012-11-14
109,2012-11-07
110,2012-10-23
111,2012-10-16
112,2012-10-09
113,2012-10-02
114,2012-09-25
115,2012-09-18
116,2012-09-11
117,2012-09-05
118,2012-08-28
119,2012-08-21
120,2012-08-07
121,2012-07-31
122,2012-07-24
123,2012-07-17
124,2012-07-10
125,2012-07-03
126,2012-06-26
127,2012-06-19
128,2012-06-13
129,2012-06-05
130,2012-05-22
131,2012-05-15
132,2012-05-08
133,2012-05-01
134,2012-04-24
135,2012-04-18
136,2012-04-10
137,2012-04-03
138,2012-03-27
139,2012-02-28
140,2012-01-04
141,2011-11-29
142,2011-11-22
143,2011-11-15
144,2011-11-08
145,2011-11-01
146,2011-10-25
147,2011-10-18
148,2011-10-12
149,2011-10-04
150,2011-09-27
151,2011-09-20
152,2011-09-13
153,2011-09-07
154,2011-08-30
155,2011-08-23
156,2011-08-16
