,dates
0,2022-06-30
1,2022-03-31
2,2022-01-12
3,2021-09-30
4,2021-06-30
5,2021-03-31
6,2021-01-12
7,2020-09-30
8,2020-06-30
9,2020-03-31
10,2020-01-10
11,2019-09-30
12,2019-06-28
13,2019-03-29
14,2019-02-08
15,2019-01-11
16,2018-09-28
17,2018-06-29
18,2018-03-29
19,2018-01-12
20,2017-09-29
21,2017-06-30
22,2017-03-31
23,2017-01-12
24,2016-09-30
25,2016-06-30
26,2016-03-31
27,2016-01-12
28,2015-09-30
29,2015-06-30
30,2015-03-31
31,2015-01-12
32,2014-09-30
33,2014-06-30
34,2014-03-31
35,2014-01-10
36,2013-11-19
37,2013-09-30
38,2013-06-28
39,2013-03-28
40,2013-01-11
41,2012-09-28
42,2012-06-29
43,2012-03-30
44,2012-01-12
45,2011-09-30
46,2011-06-30
47,2011-03-31
48,2011-01-12
49,2010-09-30
50,2010-06-30
51,2010-03-31
52,2010-01-12
53,2009-09-30
54,2009-06-30
55,2009-03-31
56,2009-01-12
57,2008-09-30
58,2008-06-30
59,2008-03-31
60,2008-01-11
61,2007-09-28
62,2007-06-29
63,2007-03-30
64,2007-01-12
65,2006-09-29
66,2006-06-30
67,2006-03-31
68,2006-01-12
69,2005-09-30
70,2005-06-30
71,2005-03-31
72,2005-01-12
73,2004-09-30
74,2004-06-30
75,2004-03-31
76,2004-01-12
77,2003-09-30
78,2003-06-30
79,2003-03-31
80,2003-02-27
81,2003-01-10
82,2002-09-30
83,2002-06-28
84,2002-03-28
85,2002-01-11
86,2001-09-28
87,2001-06-29
88,2001-03-30
89,2001-01-11
90,2000-09-29
91,2000-06-30
92,2000-03-31
93,2000-01-12
94,1999-09-30
95,1999-06-30
96,1999-03-31
97,1999-01-12
98,1998-09-30
99,1998-06-30
100,1998-03-31
101,1998-01-13
102,1997-09-30
103,1997-06-30
104,1997-03-31
105,1997-01-10
106,1996-09-30
107,1996-06-28
108,1996-03-29
109,1996-01-16
110,1995-09-29
111,1995-06-30
112,1995-03-31
113,1995-01-12
114,1994-09-30
115,1994-06-30
116,1994-03-31
117,1994-01-12
118,1993-09-30
119,1993-06-30
120,1993-03-31
121,1993-01-12
122,1992-09-30
123,1992-06-01
124,1992-03-31
125,1992-01-13
126,1991-09-30
127,1991-06-27
128,1991-03-28
129,1991-01-11
130,1990-09-27
131,1990-06-28
132,1990-03-30
133,1990-01-11
134,1989-09-28
135,1989-06-30
136,1989-03-31
137,1989-01-13
138,1988-12-05
139,1988-09-30
140,1988-06-30
141,1988-03-31
142,1988-01-14
143,1987-09-30
144,1987-06-30
145,1987-03-31
146,1987-01-15
147,1986-09-29
148,1986-06-27
149,1986-04-29
150,1986-02-10
151,1985-11-12
152,1985-07-10
153,1985-05-10
154,1985-02-11
155,1984-10-23
156,1984-06-21
157,1984-04-23
158,1984-01-23
159,1983-10-24
160,1983-09-20
161,1983-06-22
162,1983-04-21
163,1983-01-21
164,1982-10-21
165,1982-09-22
166,1982-06-22
167,1982-04-22
168,1982-01-25
169,1981-10-22
170,1981-06-22
171,1981-04-23
172,1981-01-26
173,1980-10-23
174,1980-06-20
175,1980-04-24
176,1980-01-25
177,1979-10-23
178,1979-06-21
179,1979-04-23
180,1979-01-25
181,1978-10-23
182,1978-06-22
183,1978-04-20
184,1978-01-25
185,1977-10-25
186,1977-06-23
187,1977-04-21
188,1977-01-25
189,1976-10-21
190,1976-06-22
191,1976-04-22
192,1976-01-23
193,1975-10-24
194,1975-07-24
195,1975-04-24
196,1975-01-24
197,1974-10-24
198,1974-07-24
199,1974-04-24
200,1974-01-24
201,1973-10-24
