,dates
0,2022-03-31
1,2021-03-31
2,2020-03-31
3,2019-03-29
4,2018-03-29
5,2017-03-31
6,2016-03-31
7,2015-03-31
8,2014-03-31
9,2013-03-28
10,2012-03-30
11,2011-03-31
12,2010-03-31
13,2009-03-31
14,2008-03-31
15,2007-03-30
16,2006-03-31
17,2005-03-31
18,2004-03-31
19,2003-03-31
20,2002-03-28
21,2001-03-30
22,2000-03-31
23,1999-03-31
24,1998-03-31
25,1997-03-31
26,1996-03-29
27,1995-03-31
28,1994-03-31
29,1993-03-31
30,1992-03-31
31,1991-03-28
32,1990-03-30
33,1989-03-31
34,1988-03-31
35,1987-03-31
36,1986-03-18
37,1985-02-15
38,1984-02-16
39,1983-02-17
40,1982-02-18
41,1981-03-19
42,1981-01-21
43,1980-04-17
44,1980-01-21
45,1979-04-16
46,1979-01-22
47,1978-04-13
48,1978-01-20
49,1977-04-14
50,1977-01-21
51,1976-04-15
52,1976-01-21
53,1975-03-17
54,1975-01-22
