,dates
0,2022-06-10
1,2022-05-12
2,2022-04-08
3,2022-03-09
4,2022-02-09
5,2022-01-12
6,2021-12-09
7,2021-11-09
8,2021-10-12
9,2021-09-10
10,2021-08-12
11,2021-07-12
12,2021-06-10
13,2021-05-12
14,2021-04-09
15,2021-03-09
16,2021-02-09
17,2021-01-12
18,2020-12-10
19,2020-11-10
20,2020-10-09
21,2020-09-11
22,2020-08-12
23,2020-07-10
24,2020-06-11
25,2020-05-12
26,2020-04-09
27,2020-03-10
28,2020-02-11
29,2020-01-10
30,2019-12-10
31,2019-11-08
32,2019-11-08
33,2019-11-08
34,2019-10-10
35,2019-09-12
36,2019-08-12
37,2019-07-11
38,2019-06-11
39,2019-05-10
40,2019-04-09
41,2019-03-08
42,2019-02-08
43,2018-12-14
44,2018-12-11
45,2018-11-08
46,2018-10-11
47,2018-09-12
48,2018-08-10
49,2018-07-12
50,2018-06-12
51,2018-05-10
52,2018-04-10
53,2018-03-08
54,2018-02-08
55,2018-01-12
56,2017-12-12
57,2017-11-09
58,2017-10-12
59,2017-09-12
60,2017-08-10
61,2017-07-12
62,2017-06-09
63,2017-05-10
64,2017-04-11
65,2017-03-09
66,2017-02-09
67,2017-01-12
68,2016-12-09
69,2016-11-09
70,2016-10-12
71,2016-09-12
72,2016-08-12
73,2016-07-12
74,2016-06-10
75,2016-05-10
76,2016-04-12
77,2016-03-09
78,2016-02-09
79,2016-01-12
80,2015-12-09
81,2015-11-10
82,2015-10-09
83,2015-09-11
84,2015-08-12
85,2015-07-10
86,2015-06-10
87,2015-05-12
88,2015-04-09
89,2015-03-10
90,2015-02-10
91,2015-01-12
92,2014-12-10
93,2014-11-10
94,2014-10-10
95,2014-09-11
96,2014-08-12
97,2014-07-11
98,2014-06-11
99,2014-05-09
100,2014-04-09
101,2014-03-10
102,2014-02-10
103,2014-01-23
104,2014-01-10
105,2013-12-10
106,2013-11-08
107,2013-09-12
108,2013-08-12
109,2013-07-11
110,2013-06-12
111,2013-05-10
112,2013-04-10
113,2013-03-08
114,2013-02-08
115,2013-01-11
116,2012-12-11
117,2012-11-09
118,2012-10-11
119,2012-09-12
120,2012-08-10
121,2012-07-11
122,2012-06-12
123,2012-05-10
124,2012-04-10
125,2012-03-09
126,2012-02-09
127,2012-01-12
128,2011-12-09
129,2011-11-09
130,2011-10-12
131,2011-09-12
132,2011-08-11
133,2011-07-12
134,2011-06-09
135,2011-05-11
136,2011-04-08
137,2011-03-10
138,2011-02-09
139,2011-01-12
140,2010-12-15
141,2010-12-10
142,2010-11-09
143,2010-10-08
144,2010-09-10
145,2010-08-12
146,2010-07-09
147,2010-06-10
148,2010-05-11
149,2010-04-09
150,2010-03-10
151,2010-02-09
152,2010-01-12
153,2009-12-10
154,2009-11-10
155,2009-10-09
156,2009-09-14
157,2009-09-11
158,2009-08-12
159,2009-07-10
160,2009-06-10
161,2009-05-12
162,2009-04-09
163,2009-03-11
164,2009-02-10
165,2009-01-12
166,2008-12-12
167,2008-12-11
168,2008-11-10
169,2008-10-28
170,2008-10-10
171,2008-09-12
172,2008-08-12
173,2008-07-11
174,2008-07-02
175,2008-06-10
176,2008-05-09
177,2008-05-07
178,2008-05-05
179,2008-04-09
180,2008-03-11
181,2008-02-08
182,2008-01-11
183,2007-12-11
184,2007-11-09
185,2007-10-12
186,2007-09-12
187,2007-08-10
188,2007-07-12
189,2007-06-11
190,2007-05-11
191,2007-04-10
192,2007-03-09
193,2007-02-09
194,2007-01-12
195,2006-12-11
196,2006-11-09
197,2006-10-12
198,2006-09-12
199,2006-08-11
200,2006-07-12
201,2006-06-09
202,2006-05-12
203,2006-04-10
204,2006-03-13
205,2006-02-09
206,2006-01-12
207,2005-12-09
208,2005-11-10
209,2005-10-12
210,2005-09-12
211,2005-08-12
212,2005-07-12
213,2005-06-10
214,2005-05-12
215,2005-04-08
216,2005-03-10
217,2005-02-09
218,2005-01-12
219,2004-12-10
220,2004-11-12
221,2004-10-12
222,2004-09-10
223,2004-08-12
224,2004-07-12
225,2004-06-10
226,2004-05-12
227,2004-04-08
228,2004-03-10
229,2004-02-10
230,2004-01-12
231,2003-12-11
232,2003-11-12
233,2003-10-10
234,2003-09-11
235,2003-08-12
236,2003-07-11
237,2003-06-11
238,2003-05-12
239,2003-04-10
240,2003-03-11
241,2003-02-11
242,2003-01-10
243,2002-12-10
244,2002-11-12
245,2002-10-11
246,2002-09-12
247,2002-08-12
248,2002-07-11
249,2002-06-12
250,2002-05-10
251,2002-04-10
252,2002-03-08
253,2002-02-08
254,2002-01-11
255,2001-12-11
256,2001-11-09
257,2001-10-12
258,2001-09-14
259,2001-09-11
260,2001-08-10
261,2001-07-11
262,2001-06-12
263,2001-05-10
264,2001-05-09
265,2001-04-10
266,2001-03-08
267,2001-02-08
268,2001-01-11
269,2000-12-12
270,2000-11-09
271,2000-10-12
272,2000-09-12
273,2000-08-11
274,2000-07-12
275,2000-06-09
276,2000-05-12
277,2000-04-01
278,2000-03-10
279,2000-02-11
280,2000-01-12
281,1999-12-10
282,1999-11-10
283,1999-10-08
284,1999-09-10
285,1999-08-12
286,1999-07-12
287,1999-06-11
288,1999-05-12
289,1999-04-09
290,1999-03-11
291,1999-02-10
292,1999-01-12
293,1998-12-11
294,1998-11-10
295,1998-10-09
296,1998-09-11
297,1998-08-12
298,1998-07-10
299,1998-06-12
300,1998-05-12
301,1998-04-09
302,1998-03-12
303,1998-02-11
304,1998-01-13
305,1997-12-11
306,1997-11-10
307,1997-10-10
308,1997-09-12
309,1997-08-12
310,1997-07-11
311,1997-06-12
312,1997-05-12
313,1997-04-11
314,1997-03-11
315,1997-02-12
316,1997-01-10
317,1996-12-12
318,1996-11-12
319,1996-10-11
320,1996-09-11
321,1996-08-12
322,1996-07-12
323,1996-06-12
324,1996-05-10
325,1996-04-11
326,1996-04-10
327,1996-03-14
328,1996-03-11
329,1996-02-09
330,1996-02-08
331,1996-01-16
332,1995-12-12
333,1995-12-11
334,1995-11-09
335,1995-11-08
336,1995-10-11
337,1995-10-10
338,1995-09-12
339,1995-09-11
340,1995-08-14
341,1995-08-10
342,1995-07-12
343,1995-07-11
344,1995-06-12
345,1995-06-09
346,1995-05-11
347,1995-05-10
348,1995-04-11
349,1995-04-10
350,1995-03-12
351,1995-03-10
